Word	AFINN	freq	avg_AFINN	sd_AFINN
apartma	0	47	0.343	2.096
apartmajski	0	10	-0.277	2.532
apatičen	0	3	0.390	2.500
apatičnost	0	1	0.390	0.000
apatija	-2	4	-1.798	0.625
apaurin	-2	1	-2.110	0.000
apel	-1	2	-1.485	2.652
apelirati	0	13	-0.014	1.986
aperitiv	0	1	0.390	0.000
apetit	0	31	0.188	1.584
api	2	1	1.640	0.000
aplastičen	-1	1	-0.860	0.000
aplavz	3	4	2.890	2.041
aplikacija	2	78	1.753	1.757
aplikacijski	0	1	0.390	0.000
apneja	-5	1	-4.610	0.000
apoen	1	5	1.390	1.369
apokaliptičen	-2	2	-2.110	0.000
apolitičen	0	1	0.390	0.000
apostol	0	1	0.390	0.000
apostolski	0	10	-0.485	1.959
apreciacija	0	1	0.390	0.000
april	0	1082	-0.367	2.068
aprilski	0	99	-0.410	2.078
aprioren	-5	1	-4.610	0.000
ar	1	13	0.807	1.875
ara	0	3	-0.027	1.909
arabec	1	6	1.140	2.592
arabski	0	64	0.484	2.013
arabščina	0	1	0.390	0.000
aranžma	1	45	0.729	1.728
arašid	-1	2	-1.068	0.295
arašidov	-1	2	-1.068	0.295
arbiter	0	5	-0.360	1.118
arbitraža	0	31	-0.188	1.007
arbitražen	0	94	-0.079	1.429
arboretum	-2	1	-2.110	0.000
area	4	1	4.140	0.000
arena	2	32	2.164	1.398
aretacija	-1	38	-0.520	1.881
aretirati	-1	34	-1.225	1.988
argentinski	2	2	2.265	0.884
argeta	1	10	0.668	0.833
argo	0	2	0.390	1.768
argument	0	117	-0.340	1.652
argumentacija	-1	11	-0.936	1.051
argumentirati	0	7	0.033	2.061
argus	-1	1	-0.860	0.000
arhaičen	0	1	0.390	0.000
arheolog	-1	8	-0.704	3.094
arheološki	1	4	1.328	1.875
arhipelag	-5	1	-4.610	0.000
arhitekt	1	38	1.154	1.998
arhitektka	-1	3	-0.860	3.307
arhitektura	0	22	0.473	1.761
arhitekturen	1	26	0.773	1.917
arhiv	0	82	0.293	1.341
arhiviran	0	1	0.390	0.000
arhiviranje	0	5	-0.277	2.255
arhivski	-1	27	-0.577	1.758
arija	0	1	0.390	0.000
aristokracija	2	1	1.640	0.000
aritmetičen	2	1	1.640	0.000
arkada	-1	2	-0.860	1.768
arkaden	3	2	2.890	0.000
arktičen	-1	2	-0.860	0.000
armada	-1	4	-1.485	1.614
armal	1	5	1.140	2.739
armatura	-1	4	-1.485	2.165
armaturen	3	8	2.578	0.884
armiranobetonski	-3	1	-3.360	0.000
arnika	2	1	1.640	0.000
aroganca	-2	4	-2.110	2.282
aroganten	-2	3	-1.693	0.722
arogantnost	-2	1	-2.110	0.000
aroma	2	5	1.557	2.801
art	1	4	1.015	1.614
arterija	0	5	0.390	2.500
arterijski	-2	1	-2.110	0.000
artikel	1	11	1.072	2.460
artiški	0	1	0.390	0.000
artritis	-5	1	-4.610	0.000
artroplastika	-1	3	-1.277	1.443
arzenik	-1	1	-0.860	0.000
as	0	8	-0.079	1.997
asanacija	1	3	1.223	1.443
asfalt	1	23	0.897	1.820
asfalten	0	19	-0.136	2.405
asfalterski	2	2	1.640	1.768
asfaltiran	1	5	0.890	1.118
asfaltirati	1	2	1.015	2.652
asignacija	-3	1	-3.360	0.000
asignacijski	0	1	-0.443	0.000
asignirati	2	1	1.640	0.000
asimetričen	-2	1	-2.110	0.000
asimetrija	2	1	1.640	0.000
asimilacijski	-2	1	-2.110	0.000
asistenca	0	11	0.163	2.078
asistent	0	7	0.211	1.125
asistentka	0	11	0.087	0.835
